时间,次数,架号,检测值
2022-11-12 11:09:52.198109,126,2,3821169
2022-11-12 11:09:52.229029,122,1,3821764
2022-11-12 11:09:52.677864,21,4,3830800
2022-11-12 11:09:53.510701,127,2,3847499
2022-11-12 11:09:53.629393,123,1,3849853
2022-11-12 11:09:54.054289,22,4,3858405
2022-11-12 11:09:54.727541,35,3,3871897
2022-11-12 11:09:54.822295,128,2,3873823
2022-11-12 11:09:54.943980,124,1,3876295
2022-11-12 11:09:55.444679,23,4,3886176
2022-11-12 11:09:56.133889,129,2,3900143
2022-11-12 11:09:56.256570,125,1,3902655
2022-11-12 11:09:56.345342,24,4,3904314
2022-11-12 11:09:57.456454,130,2,3926622
2022-11-12 11:09:57.574150,126,1,3929008
2022-11-12 11:09:57.582130,36,3,3929188
2022-11-12 11:09:57.822504,25,4,3933836
2022-11-12 11:09:58.846845,131,2,3954536
2022-11-12 11:09:58.884746,127,1,3955316
2022-11-12 11:09:59.286702,26,4,3963366
2022-11-12 11:10:00.165420,132,2,3981010
2022-11-12 11:10:00.192351,128,1,3981584
2022-11-12 11:10:00.752894,37,3,3992736
2022-11-12 11:10:00.766858,27,4,3993055
2022-11-12 11:10:01.477014,133,2,4007328
2022-11-12 11:10:01.519903,129,1,4008099
2022-11-12 11:10:02.790603,134,2,4033645
2022-11-12 11:10:02.839477,130,1,4034573
2022-11-12 11:10:03.639399,28,4,4050655
2022-11-12 11:10:03.847858,38,3,4054820
2022-11-12 11:10:04.110176,135,2,4060116
2022-11-12 11:10:04.149075,131,1,4060880
2022-11-12 11:10:05.423766,136,2,4086430
2022-11-12 11:10:05.462664,132,1,4087187
2022-11-12 11:10:06.501965,29,4,4108087
2022-11-12 11:10:06.735359,137,2,4112742
2022-11-12 11:10:06.855049,133,1,4115101
2022-11-12 11:10:06.951798,39,3,4117073
2022-11-12 11:10:08.054933,138,2,4139207
2022-11-12 11:10:08.168637,134,1,4141400
2022-11-12 11:10:09.367524,139,2,4165510
2022-11-12 11:10:09.382486,30,4,4165829
2022-11-12 11:10:09.486216,135,1,4167860
2022-11-12 11:10:10.078678,40,3,4179770
2022-11-12 11:10:10.648199,31,4,4191001
2022-11-12 11:10:10.678121,140,2,4191802
2022-11-12 11:10:10.801801,136,1,4194159
2022-11-12 11:10:12.080479,141,2,4219850
2022-11-12 11:10:12.118381,137,1,4220591
2022-11-12 11:10:12.182215,32,4,4221933
2022-11-12 11:10:13.200573,41,3,4242285
2022-11-12 11:10:13.401051,142,2,4246288
2022-11-12 11:10:13.425987,138,1,4246859
2022-11-12 11:10:13.734185,33,4,4253010
2022-11-12 11:10:14.712644,143,2,4272559
2022-11-12 11:10:14.738577,139,1,4273128
2022-11-12 11:10:15.273189,34,4,4283771
2022-11-12 11:10:16.034213,144,2,4298983
2022-11-12 11:10:16.050172,140,1,4299387
2022-11-12 11:10:16.084085,42,3,4299943
2022-11-12 11:10:17.337829,145,2,4325088
2022-11-12 11:10:17.367752,141,1,4325689
2022-11-12 11:10:17.921312,43,3,4336791
2022-11-12 11:10:18.208567,35,4,4342555
2022-11-12 11:10:18.649423,146,2,4351356
2022-11-12 11:10:18.676354,142,1,4351918
2022-11-12 11:10:19.767518,44,3,4373776
2022-11-12 11:10:19.982959,147,2,4377946
2022-11-12 11:10:20.066741,143,1,4379818
2022-11-12 11:10:21.066146,36,4,4399725
2022-11-12 11:10:21.288568,148,2,4404212
2022-11-12 11:10:21.385317,144,1,4406083
2022-11-12 11:10:21.600758,45,3,4410464
2022-11-12 11:10:22.602160,149,2,4430482
2022-11-12 11:10:22.696911,145,1,4432360
2022-11-12 11:10:23.442974,46,3,4447298
2022-11-12 11:10:23.911756,150,2,4456757
2022-11-12 11:10:24.007508,146,1,4458626
2022-11-12 11:10:24.230928,37,4,4463170
2022-11-12 11:10:25.263247,47,3,4483835
2022-11-12 11:10:25.304141,151,2,4484636
