时间,次数,架号,检测值
2022-11-06 14:42:48.109194,447,3,722128
2022-11-06 14:42:48.143209,368,4,723633
2022-11-06 14:42:48.182226,373,1,725466
2022-11-06 14:42:48.399323,448,3,735619
2022-11-06 14:42:48.415331,369,4,736379
2022-11-06 14:42:48.679446,449,3,748757
2022-11-06 14:42:48.695454,370,4,749508
2022-11-06 14:42:48.776490,260,2,753253
2022-11-06 14:42:48.952567,450,3,761497
2022-11-06 14:42:49.217685,371,4,773888
2022-11-06 14:42:49.241696,451,3,775013
2022-11-06 14:42:49.523821,452,3,788134
2022-11-06 14:42:49.746920,372,4,798644
2022-11-06 14:42:49.803946,453,3,801269
2022-11-06 14:42:50.086072,454,3,814396
2022-11-06 14:42:50.269151,373,4,823028
2022-11-06 14:42:50.366194,455,3,827527
2022-11-06 14:42:50.630311,374,1,839863
2022-11-06 14:42:50.647319,456,3,840661
2022-11-06 14:42:50.749364,129,5,845423
2022-11-06 14:42:50.773374,130,5,846035
2022-11-06 14:42:50.782379,374,4,847045
2022-11-06 14:42:50.925442,457,3,853792
2022-11-06 14:42:51.208569,458,3,866922
2022-11-06 14:42:51.225576,261,2,867668
2022-11-06 14:42:51.303609,375,4,871422
2022-11-06 14:42:51.489692,459,3,880036
2022-11-06 14:42:51.769818,460,3,893154
2022-11-06 14:42:51.828842,376,4,895775
2022-11-06 14:42:52.049843,461,3,906248
2022-11-06 14:42:52.330798,462,3,919355
2022-11-06 14:42:52.346795,377,4,920103
2022-11-06 14:42:52.620752,463,3,932806
2022-11-06 14:42:52.874711,378,4,944403
2022-11-06 14:42:52.900707,464,3,945899
2022-11-06 14:42:53.083678,375,1,954030
2022-11-06 14:42:53.179663,465,3,958963
2022-11-06 14:42:53.388629,379,4,968677
2022-11-06 14:42:53.460618,466,3,972037
2022-11-06 14:42:53.469617,131,5,972265
2022-11-06 14:42:53.694581,262,2,982107
2022-11-06 14:42:53.695581,380,4,982108
2022-11-06 14:42:53.743573,467,3,985096
2022-11-06 14:42:53.854557,132,5,990176
2022-11-06 14:42:53.869553,133,5,991048
2022-11-06 14:42:53.894549,134,5,992061
2022-11-06 14:42:53.960538,381,4,995184
2022-11-06 14:42:54.033527,468,3,998545
2022-11-06 14:42:54.240495,382,4,1008246
2022-11-06 14:42:54.314484,469,3,1011608
2022-11-06 14:42:54.520450,135,5,1020881
2022-11-06 14:42:54.530448,383,4,1021700
2022-11-06 14:42:54.592438,470,3,1024682
2022-11-06 14:42:54.808403,384,4,1034761
2022-11-06 14:42:54.863395,136,5,1037181
2022-11-06 14:42:54.882391,471,3,1038126
2022-11-06 14:42:54.891390,137,5,1038741
2022-11-06 14:42:54.900389,138,5,1039065
2022-11-06 14:42:54.904388,139,5,1039272
2022-11-06 14:42:55.090358,385,4,1047841
2022-11-06 14:42:55.170346,472,3,1051195
2022-11-06 14:42:55.312323,140,5,1058199
2022-11-06 14:42:55.328321,141,5,1058952
2022-11-06 14:42:55.358316,142,5,1059542
2022-11-06 14:42:55.386313,386,4,1061284
2022-11-06 14:42:55.445302,473,3,1064275
2022-11-06 14:42:55.516291,376,1,1067587
2022-11-06 14:42:55.660268,387,4,1074357
2022-11-06 14:42:55.732256,474,3,1077714
2022-11-06 14:42:55.940224,388,4,1087436
2022-11-06 14:42:55.955221,143,5,1088199
2022-11-06 14:42:55.988216,144,5,1089743
2022-11-06 14:42:56.012212,475,3,1090795
2022-11-06 14:42:56.052205,145,5,1092768
2022-11-06 14:42:56.124194,263,2,1096029
2022-11-06 14:42:56.237176,389,4,1100882
2022-11-06 14:42:56.292167,476,3,1103867
2022-11-06 14:42:56.311164,146,5,1104804
2022-11-06 14:42:56.316163,147,5,1104975
2022-11-06 14:42:56.334160,148,5,1105724
2022-11-06 14:42:56.421147,149,5,1109949
2022-11-06 14:42:56.424146,150,5,1110014
2022-11-06 14:42:56.430146,151,5,1110150
2022-11-06 14:42:56.509132,390,4,1113967
2022-11-06 14:42:56.582121,477,3,1117325
2022-11-06 14:42:56.789088,391,4,1127034
2022-11-06 14:42:56.863076,478,3,1130395
2022-11-06 14:42:57.079042,392,4,1140493
2022-11-06 14:42:57.142032,479,3,1143483
2022-11-06 14:42:57.360997,393,4,1153565
2022-11-06 14:42:57.656950,394,4,1166651
2022-11-06 14:42:57.663949,480,3,1167776
2022-11-06 14:42:57.920908,395,4,1179725
2022-11-06 14:42:57.954903,377,1,1181465
2022-11-06 14:42:58.192864,481,3,1192443
2022-11-06 14:42:58.208862,396,4,1193189
2022-11-06 14:42:58.497817,397,4,1206264
2022-11-06 14:42:58.572804,264,2,1210003
2022-11-06 14:42:58.717783,482,3,1216735
2022-11-06 14:42:58.771773,398,4,1219350
2022-11-06 14:42:59.054728,399,4,1232428
2022-11-06 14:42:59.236698,483,3,1241030
2022-11-06 14:42:59.343683,400,4,1245891
2022-11-06 14:42:59.621637,401,4,1258968
2022-11-06 14:42:59.759617,484,3,1265327
2022-11-06 14:42:59.900592,402,4,1272054
2022-11-06 14:43:00.182547,403,4,1285134
2022-11-06 14:43:00.285531,485,3,1289996
2022-11-06 14:43:00.406512,378,1,1295558
2022-11-06 14:43:00.471502,404,4,1298587
2022-11-06 14:43:00.751457,405,4,1311677
2022-11-06 14:43:00.811449,486,3,1314293
2022-11-06 14:43:01.016415,265,2,1324002
2022-11-06 14:43:01.033413,406,4,1324752
2022-11-06 14:43:01.312368,407,4,1337843
2022-11-06 14:43:01.329365,487,3,1338589
2022-11-06 14:43:01.604322,408,4,1351295
2022-11-06 14:43:01.855283,488,3,1362888
2022-11-06 14:43:01.884277,409,4,1364389
2022-11-06 14:43:02.163232,410,4,1377463
2022-11-06 14:43:02.380198,489,3,1387560
2022-11-06 14:43:02.458185,411,4,1390927
2022-11-06 14:43:02.670151,490,3,1400640
2022-11-06 14:43:02.733142,412,4,1404004
2022-11-06 14:43:02.836125,379,1,1408790
2022-11-06 14:43:02.943108,491,3,1413728
2022-11-06 14:43:03.013097,413,4,1417092
2022-11-06 14:43:03.223064,492,3,1426806
2022-11-06 14:43:03.296052,414,4,1430173
2022-11-06 14:43:03.455026,266,2,1437651
2022-11-06 14:43:03.503019,493,3,1439894
2022-11-06 14:43:03.583006,415,4,1443629
2022-11-06 14:43:03.790973,494,3,1453344
2022-11-06 14:43:03.863961,416,4,1456711
2022-11-06 14:43:04.071929,495,3,1466433
2022-11-06 14:43:04.142917,417,4,1469792
2022-11-06 14:43:04.151915,380,1,1470134
2022-11-06 14:43:04.354883,496,3,1479512
2022-11-06 14:43:04.423872,418,4,1482880
2022-11-06 14:43:04.632839,497,3,1492592
2022-11-06 14:43:04.705828,419,4,1495952
2022-11-06 14:43:04.922793,498,3,1506048
2022-11-06 14:43:04.995781,420,4,1509415
2022-11-06 14:43:05.203748,499,3,1519126
2022-11-06 14:43:05.285735,421,4,1522862
2022-11-06 14:43:05.467706,381,1,1531390
2022-11-06 14:43:05.483703,500,3,1532212
2022-11-06 14:43:05.565692,422,4,1535952
2022-11-06 14:43:05.766660,501,3,1545288
2022-11-06 14:43:05.845646,423,4,1549026
2022-11-06 14:43:05.899637,267,2,1551644
2022-11-06 14:43:06.044615,502,3,1558376
2022-11-06 14:43:06.124602,424,4,1562112
2022-11-06 14:43:06.335570,503,3,1571819
2022-11-06 14:43:06.416556,425,4,1575564
2022-11-06 14:43:06.624523,504,3,1584912
2022-11-06 14:43:06.694511,426,4,1588649
2022-11-06 14:43:06.783497,382,1,1592720
2022-11-06 14:43:06.894479,505,3,1597983
2022-11-06 14:43:06.975466,427,4,1601723
2022-11-06 14:43:07.175434,506,3,1611070
2022-11-06 14:43:07.259421,428,4,1614808
2022-11-06 14:43:07.473388,507,3,1624517
2022-11-06 14:43:07.745344,508,3,1637602
2022-11-06 14:43:07.777339,429,4,1639097
