PID     	进程名                                     	工作目录的绝对路径
7096    	有道云笔记.exe                               	D:\YouDaoYun\ynote-desktop\有道云笔记.exe
7180    	devenv.exe                              	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\devenv.exe
7340    	ModbusDrv.exe                           	C:\Windows\System32\ModbusDrv.exe
7660    	Microsoft.ServiceHub.Controller.exe     	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\controller\Microsoft.ServiceHub.Controller.exe
8008    	spacedeskServiceTray.exe                	C:\Windows\System32\spacedeskServiceTray.exe
8228    	SystemWebServer.exe                     	D:\Multisim\Shared\NI WebServer\SystemWebServer.exe
8304    	svchost.exe                             	C:\Windows\System32\svchost.exe
8928    	MBAMessageCenter.exe                    	C:\Program Files\Huawei\PCManager\MBAMessageCenter.exe
8936    	TCATSysSrv.exe                          	C:\TwinCAT\3.1\System\TCATSysSrv.exe
8964    	TabTip.exe                              	C:\Program Files\Common Files\microsoft shared\ink\TabTip.exe
9076    	winrdlv3.exe                            	C:\Windows\SysWOW64\winrdlv3.exe
9420    	PD-NetmanageServer.exe                  	C:\Program Files (x86)\Common Files\Schneider Electric Shared\NetmanageServer\4.3\PD-NetmanageServer.exe
9516    	NIWebServiceContainer.exe               	D:\Multisim\Shared\NI WebServer\NIWebServiceContainer.exe
9568    	ApplicationWebServer.exe                	D:\Multisim\Shared\NI WebServer\ApplicationWebServer.exe
9684    	svchost.exe                             	C:\Windows\System32\svchost.exe
9700    	usysdiag.exe                            	D:\Program Files (x86)\Huorong\Sysdiag\bin\usysdiag.exe
9808    	svchost.exe                             	C:\Windows\System32\svchost.exe
9888    	kms-renewal.exe                         	C:\Windows\System32\kms-renewal.exe
9896    	vmware-usbarbitrator64.exe              	C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe
10028   	UsbConnect.exe                          	C:\Windows\System32\UsbConnect.exe
10032   	vmnat.exe                               	C:\Windows\SysWOW64\vmnat.exe
10044   	watchctrl.exe                           	C:\Program Files\EsafeNet\Cobra DocGuard Client\watchctrl.exe
10064   	vmware-authd.exe                        	D:\VMware\vmware-authd.exe
10084   	vmnetdhcp.exe                           	C:\Windows\SysWOW64\vmnetdhcp.exe
10124   	SunloginClient.exe                      	D:\SunLogin\SunloginClient\SunloginClient.exe
10132   	NIWebServiceContainer.exe               	D:\Multisim\Shared\NI WebServer\NIWebServiceContainer.exe
10164   	SWVisualize.Queue.Server.exe            	D:\SOLIDWORKS Corp\SOLIDWORKS Visualize\SWVisualize.Queue.Server.exe
10196   	TcEventLogger.exe                       	C:\TwinCAT\3.1\Components\TcEventLogger\TcEventLogger.exe
10212   	SWVisualize.BoostService.exe            	D:\SOLIDWORKS Corp\SOLIDWORKS Visualize Boost\SWVisualize.BoostService.exe
10228   	unsecapp.exe                            	C:\Windows\System32\wbem\unsecapp.exe
10264   	WifiAutoInstall.exe                     	C:\Program Files (x86)\FAST\FW150US（免驱版）2.0\DriverFiles\WifiAutoInstall.exe
10272   	XBTZG935svr.exe                         	C:\Program Files (x86)\Schneider Electric\Drivers\XBTZG935\XBTZG935svr.exe
10280   	svchost.exe                             	C:\Windows\System32\svchost.exe
10296   	svchost.exe                             	C:\Windows\SysWOW64\svchost.exe
10304   	sihost.exe                              	C:\Windows\System32\sihost.exe
10340   	svchost.exe                             	C:\Windows\System32\svchost.exe
10500   	ServiceHub.RoslynCodeAnalysisService.exe	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.AnyCPU\ServiceHub.RoslynCodeAnalysisService.exe
10564   	winrdlv3.exe                            	C:\Windows\SysWOW64\winrdlv3.exe
10596   	UsbConsole.exe                          	C:\Windows\System32\UsbConsole.exe
10688   	winrdlv3.exe                            	C:\Windows\SysWOW64\winrdlv3.exe
10776   	conhost.exe                             	C:\Windows\System32\conhost.exe
10892   	vsls-agent.exe                          	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\IDE\Extensions\Microsoft\LiveShare\Agent\vsls-agent.exe
10968   	svchost.exe                             	C:\Windows\System32\svchost.exe
11216   	SearchProtocolHost.exe                  	C:\Windows\System32\SearchProtocolHost.exe
11504   	winrdlv3.exe                            	C:\Windows\System32\winrdlv3.exe
11628   	ServiceHub.SettingsHost.exe             	D:\Microsoft Visual Studio\2022\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.AnyCPU\ServiceHub.SettingsHost.exe
11744   	taskhostw.exe                           	C:\Windows\System32\taskhostw.exe
11808   	CXOneInstChecker.exe                    	C:\Program Files (x86)\OMRON\CXOneInstChecker.exe
11840   	PopBlock.exe                            	D:\Program Files (x86)\Huorong\Sysdiag\bin\PopBlock.exe
11876   	ServiceHub.RoslynCodeAnalysisService.exe	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.AnyCPU\ServiceHub.RoslynCodeAnalysisService.exe
11908   	owebuinw.exe                            	C:\Windows\SysWOW64\Ocular3Path\SCClient\bin\owebuinw.exe
11956   	svchost.exe                             	C:\Windows\System32\svchost.exe
11968   	explorer.exe                            	C:\Windows\explorer.exe
12004   	vmware-hostd.exe                        	D:\VMware\vmware-hostd.exe
12096   	svchost.exe                             	C:\Windows\System32\svchost.exe
12128   	svchost.exe                             	C:\Windows\System32\svchost.exe
12132   	svchost.exe                             	C:\Windows\System32\svchost.exe
12276   	TC3ScopeServer.exe                      	C:\TwinCAT\Functions\TF3300-Scope-Server\TC3ScopeServer.exe
12356   	ShellExperienceHost.exe                 	C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe
12564   	ServiceHub.Host.CLR.x86.exe             	C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe
